id,pond_id,total_seed,started_at,finished_at,area,size,berat,id2,harvested_at,status,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,43.8,30.6,16619,3/9/2023,Full,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,43.8,25,16620,3/9/2023,Full,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,43.8,14,16628,3/11/2023,FINISIHING,,,,,,
19615,13251,200000,11/29/2022 0:00,3/9/2023 0:00,2020,43.8,6,16651,3/11/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16639,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16686,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16921,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16974,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16975,3/26/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,17558,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,17560,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,534.05,17565,4/17/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,12.8,17566,4/17/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16639,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16686,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16921,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16974,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16975,3/26/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,17558,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,17560,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,534.05,17565,4/17/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,12.8,17566,4/17/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16639,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16686,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16921,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16974,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16975,3/26/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,17558,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,17560,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,534.05,17565,4/17/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,12.8,17566,4/17/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16639,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16686,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16921,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,16974,3/12/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,16975,3/26/2023,,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,177,136.8,17558,3/12/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,140,61.8,17560,3/26/2023,Partial,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,534.05,17565,4/17/2023,Full,,,,,,
20671,37707,115000,1/9/2023 0:00,4/16/2023 0:00,780,95,12.8,17566,4/17/2023,Full,,,,,,
20259,38729,290400,12/19/2022 0:00,5/3/2023 0:00,2252,130,222.6,16610,3/7/2023,Partial,,,,,,
20259,38729,290400,12/19/2022 0:00,5/3/2023 0:00,2252,91.2,413.55,16902,3/21/2023,Partial,,,,,,
20259,38729,290400,12/19/2022 0:00,5/3/2023 0:00,2252,68.4,494.74,17201,4/4/2023,Partial,,,,,,
20259,38729,290400,12/19/2022 0:00,5/3/2023 0:00,2252,54.48,410.92,17496,4/15/2023,Partial,,,,,,
20259,38729,290400,12/19/2022 0:00,5/3/2023 0:00,2252,41.8,2464.66,17857,5/3/2023,Full,,,,,,
12491,33364,180000,4/22/2022 0:00,7/21/2022 0:00,1600,50,4600,12813,7/20/2022,Failed,,,,,,
15778,30609,330000,6/29/2022 0:00,8/28/2022 0:00,1850,160,666.8,12872,8/28/2022,Full,,,,,,
15067,38470,100000,1/21/2023 0:00,4/2/2023 0:00,700,350,84,16923,3/24/2023,Partial,,,,,,
15067,38470,100000,1/21/2023 0:00,4/2/2023 0:00,700,350,173,17097,4/2/2023,Full,,,,,,
16636,37103,150000,1/2/2023 0:00,2/27/2023 0:00,810,165,100,16426,2/19/2023,Partial,,,,,,
16636,37103,150000,1/2/2023 0:00,2/27/2023 0:00,810,130,30,16554,2/25/2023,Partial,,,,,,
16636,37103,150000,1/2/2023 0:00,2/27/2023 0:00,810,120,515,16555,2/27/2023,Full,,,,,,
17882,38467,150000,4/30/2023 0:00,7/11/2023 0:00,625,210,240,19619,7/11/2023,Full,,,,,,
19318,32370,100000,5/25/2022 0:00,9/3/2022 0:00,1600,98,800,13132,9/3/2022,Full,,,,,,
16513,31875,281600,11/1/2022 0:00,2/1/2023 0:00,2298.55,139.24,573.24,15536,1/3/2023,Partial,,,,,,
16513,31875,281600,11/1/2022 0:00,2/1/2023 0:00,2298.55,139.24,1.88,15537,1/3/2023,Partial,,,,,,
16513,31875,281600,11/1/2022 0:00,2/1/2023 0:00,2298.55,102.31,745.6,15928,1/22/2023,Partial,,,,,,
16513,31875,281600,11/1/2022 0:00,2/1/2023 0:00,2298.55,102.31,25.45,15929,1/22/2023,Partial,,,,,,
16513,31875,281600,11/1/2022 0:00,2/1/2023 0:00,2298.55,89.24,973.03,16177,2/1/2023,Full,,,,,,
