cycle_id,size,weight,id,harvested_at,status
18590,80,170,12269,7/22/2022,Full
16328,109,1285.13,14165,8/23/2022,Partial
16328,73.8,1021.4,14166,9/3/2022,Partial
16328,52,867.4,14167,9/13/2022,Partial
16328,40.2,903,14168,9/27/2022,Partial
16328,33,3029.5,14169,10/11/2022,Full
19307,124.16,420.9,15898,1/23/2023,Partial
19307,124.16,30.88,15899,1/23/2023,Partial
19307,106.19,2373.07,16221,2/3/2023,Full
19307,106.19,199.18,16222,2/3/2023,Full
19063,57,918,11107,6/17/2022,Full
19063,57,318,11108,6/17/2022,Full
19063,57,480,11109,6/17/2022,Full
19063,57,120,11110,6/17/2022,Full
23362,42.6,221.2,18787,5/28/2023,Full
23362,45,10.83,18788,5/28/2023,Full
23362,215,13.89,18789,5/28/2023,Full
20550,54,4000,14726,10/15/2022,Partial
19238,61,884,12347,7/19/2022,Full
17728,120,303,13816,10/14/2022,Partial
17728,111,619,14188,10/22/2022,Full
17728,111,853.7,14189,10/22/2022,Full
17728,120,78.7,14456,10/14/2022,Partial
17728,111,619.44,14460,10/12/2022,Partial
17728,111,853.7,14461,10/12/2022,Partial
12348,95.8,753.4,16024,1/28/2023,Partial
12348,95.8,15,16025,1/28/2023,Partial
12348,57,893.58,16377,2/16/2023,Partial
12348,39,1700.7,16616,3/9/2023,Full
12348,39,92.4,16617,3/9/2023,Full
17720,91,474.75,10486,4/23/2022,Partial
17720,58,816.35,10652,5/10/2022,Partial
17720,58,1826.3,10653,5/11/2022,Failed
17720,58,31.75,10656,5/11/2022,Failed
14585,54,226.45,10118,4/6/2022,Partial
14585,47,560,10265,4/13/2022,Full
14585,47,20,10473,4/13/2022,Full
14585,47,2,10474,4/13/2022,Full
14585,47,2,10475,4/13/2022,Full
14585,47,1,10476,4/13/2022,Full
18405,32,4531,18458,6/8/2023,Full
21024,86,712.17,17938,5/17/2023,Partial
21024,200,0.86,17983,5/17/2023,Partial
21024,86,0.39,18006,5/17/2023,Partial
21024,86,0.11,18096,5/17/2023,Partial
21024,64,640.51,18187,5/27/2023,Partial
21024,180,1.04,18188,5/27/2023,Partial
21024,64,60,18189,5/27/2023,Partial
21024,64,30,18190,5/27/2023,Partial
21024,46,574.42,18575,6/13/2023,Partial
21024,120,1.21,18576,6/13/2023,Partial
21024,46,3.15,18577,6/13/2023,Partial
21024,45,423.92,18807,6/21/2023,Partial
21024,45,50,18809,6/21/2023,Partial
21024,45,10.71,18810,6/21/2023,Partial
21024,44,670.59,18854,6/23/2023,Partial
21024,80,19.33,18855,6/23/2023,Partial
21024,44,9.16,18856,6/23/2023,Partial
21024,43,1514.03,19010,6/30/2023,Full
21024,68,153.85,19011,6/30/2023,Full
21024,43,59.86,19012,6/30/2023,Full
14095,52,1100,16333,1/12/2023,Failed
12864,116.4,0.86,10428,4/26/2022,Partial
12864,318.5,0.25,10459,4/12/2022,Partial
12864,176.5,0.9,10460,4/19/2022,Partial
12864,103.3,596.8,10666,5/4/2022,Partial
12864,72.5,2210.3,10724,5/16/2022,Full
18817,150,500,19625,7/7/2023,Full
12867,133.9,361,15577,11/15/2022,Partial
12867,88,1082.4,15591,12/19/2022,Partial
12867,109,727,15592,11/29/2022,Partial
12867,74,367.3,15745,1/10/2023,Partial
12867,66,2488.9,16129,1/16/2023,Full
15006,84,641,11619,7/4/2022,Full
18396,62,255.26,11138,6/18/2022,Partial
18396,126,16,11139,6/18/2022,Partial
18396,62,255.26,11239,6/18/2022,
18396,62,16,11240,6/18/2022,
18396,46,747.89,12040,7/4/2022,Full
18396,58,29.27,12041,7/4/2022,Full
20714,90.85,559.77,15271,12/19/2022,Partial
20714,90.85,16.01,15272,12/19/2022,Partial
20714,78.36,660.5,15502,1/2/2023,Partial
20714,78.36,37.53,15519,1/2/2023,Partial
20714,72.41,957.84,15773,1/12/2023,Full
20714,72.41,117.47,15774,1/12/2023,Full
22535,210,202,17078,4/1/2023,Partial
22535,200,205,17169,4/6/2023,Partial
22535,190,531,17241,4/9/2023,Full
20948,54,2700,15672,1/5/2023,Full
19534,58,835,11106,6/18/2022,Full
19534,58,450,11107,6/17/2022,Full
19534,58,450,11222,6/17/2022,
15435,136,672.2,10197,12/23/2021,Partial
15435,93,715.1,10198,1/1/2022,Partial
15435,75,822,10199,1/4/2022,Partial
15435,36,5415.1,10200,2/2/2022,Full
12866,76,211.9,16353,2/14/2023,Partial
12866,110,23.5,16357,2/14/2023,Partial
12866,65,132,16369,2/14/2023,Partial
12866,45,694.86,16761,3/15/2023,Full
12866,60,87,16762,3/15/2023,Full
12866,60,34.7,16763,3/15/2023,Full
12866,45,2.27,16797,3/11/2023,Partial
19315,69.95,3287.01,9382,1/5/2022,Full
19614,160,75,17183,4/7/2023,Partial
19614,161,60,17339,4/13/2023,Full
18140,65,400,14714,11/23/2022,Full
12869,185,314.74,17384,4/16/2023,Full
22532,135,1,5465,6/11/2021,Partial
22532,135,223.49,5466,6/11/2021,Partial
22532,85.2,408.68,5976,6/27/2021,Partial
22532,85.2,0.66,5977,6/27/2021,Partial
22532,68.66,460.2,6040,7/9/2021,Partial
22532,68.66,4.69,6041,7/9/2021,Partial
22532,49.866,1783.4,6421,7/29/2021,Full
22532,49.866,68.46,6422,7/29/2021,Full
15498,110.52,52.49,12093,7/22/2022,Full
15498,110.52,452.83,12094,7/22/2022,Full
15498,110.52,5,12110,7/22/2022,Full
20763,99.45,287.02,13297,9/18/2022,Partial
20763,76.71,175.53,13488,9/29/2022,Partial
20763,76.71,2.21,13499,9/29/2022,Partial
20763,59.1,217.6,13646,10/10/2022,Partial
20763,59.1,6.76,13647,10/10/2022,Partial
20763,53.63,2885.44,13852,10/17/2022,Full
20763,53.63,94.39,13853,10/17/2022,Full
15835,68,1105.3,10105,4/4/2022,Full
15835,68,844.5,10469,4/4/2022,Full
15835,90,63.3,10470,4/4/2022,Full
15835,75,103,10471,4/4/2022,Full
15835,110,36.5,10472,4/4/2022,Full
15835,68,844.5,10604,4/4/2022,Full
15835,90,63.3,10605,4/4/2022,Full
17640,76,3800,12908,8/13/2022,Failed
18277,27.3,4217,18136,5/21/2023,Full
21659,260,7800,13718,9/6/2022,Failed
19302,124,558.25,14175,8/23/2022,Partial
19302,76.7,662.3,14176,9/3/2022,Partial
19302,60,518.8,14177,9/13/2022,Partial
19302,46.5,820.5,14178,9/27/2022,Partial
19302,35,2958.5,14179,10/13/2022,Full
18921,67.72,733.59,6350,8/4/2021,Partial
18921,48.5,1162.19,6552,8/17/2021,Full
15496,133,100,10996,5/8/2022,Partial
15496,133,750,11004,5/13/2022,Partial
15496,133,750,11496,5/14/2022,Full
18133,80,406.73,8956,11/9/2021,Full
21660,65,453.5,10120,4/6/2022,Partial
21660,65,16.84,10312,4/6/2022,Partial
21660,57,1292.85,10314,4/14/2022,Full
21660,57,50,10315,4/14/2022,Full
21660,57,20,10316,4/14/2022,Full
21660,57,103.84,10317,4/14/2022,Full
21660,55,2,10318,4/14/2022,Full
21660,57,3,10321,4/14/2022,Full
20668,116,292.32,13290,9/18/2022,Partial
20668,84.67,199.51,13492,9/29/2022,Partial
20668,84.67,1.8,13503,9/29/2022,Partial
20668,67.53,284.15,13644,10/10/2022,Partial
20668,67.53,7.93,13645,10/10/2022,Partial
20668,58.34,3477.12,14055,10/24/2022,Full
20668,58.34,106.75,14056,10/24/2022,Full
20943,80,300,19365,6/25/2023,Partial
20943,90,250,19366,6/17/2023,Partial
20943,80,215,19367,7/5/2023,Full
19066,115,266.44,11898,7/16/2022,Partial
19066,96,30,12070,7/23/2022,Partial
19066,93,281,12092,7/24/2022,Partial
19066,74,305.36,12211,8/2/2022,Partial
19066,64,152,12367,8/10/2022,Partial
19066,45.9,1570.18,12910,8/27/2022,Full
17532,84,628.15,10991,6/9/2022,Full
17532,86,300,10992,6/9/2022,Full
17532,86,31,10993,6/9/2022,Full
